"Result","axis","value"
"Loss","SuccAir",0.36
"Loss","SuccTacles",0.666666666666667
"Loss","SuccShots",0
"Loss","SuccDribbles",0
"Loss","SuccPasses",0.868852459016393
"Loss","SuccAir",0.6
"Loss","SuccTacles",1
"Win","SuccShots",1
"Win","SuccDribbles",0.666666666666667
"Win","SuccPasses",0.808764940239044
"Win","SuccAir",0.428571428571429
"Win","SuccTacles",0.863636363636364
"Loss","SuccShots",1
"Loss","SuccDribbles",0.375
"Loss","SuccPasses",0.721393034825871
"Loss","SuccAir",0.352941176470588
"Loss","SuccTacles",0.888888888888889
"Win","SuccShots",0.25
"Win","SuccDribbles",0.583333333333333
"Win","SuccPasses",0.818181818181818
"Win","SuccAir",0.422222222222222
"Win","SuccTacles",0.793103448275862
"Loss","SuccShots",1
"Loss","SuccDribbles",0.5
"Loss","SuccPasses",0.840978593272171
"Loss","SuccAir",0.344827586206897
"Loss","SuccTacles",0.875
"Loss","SuccShots",0
"Loss","SuccDribbles",0.434782608695652
"Loss","SuccPasses",0.840225563909774
"Loss","SuccAir",0.488372093023256
"Loss","SuccTacles",0.517241379310345
"Loss","SuccShots",0
"Loss","SuccDribbles",0.470588235294118
"Loss","SuccPasses",0.872983870967742
"Loss","SuccAir",0.461538461538462
"Loss","SuccTacles",0.96551724137931
"Draw","SuccShots",1
"Draw","SuccDribbles",0.4
"Draw","SuccPasses",0.747282608695652
"Draw","SuccAir",0.529411764705882
"Draw","SuccTacles",0.783783783783784
"Win","SuccShots",0.666666666666667
"Win","SuccDribbles",0.444444444444444
"Win","SuccPasses",0.906882591093117
"Win","SuccAir",0.476190476190476
"Win","SuccTacles",1
"Loss","SuccShots",1
"Loss","SuccDribbles",0.2
"Loss","SuccPasses",0.834752981260647
"Loss","SuccAir",0.5
"Loss","SuccTacles",0.95
"Win","SuccShots",0.5
"Win","SuccDribbles",0.333333333333333
"Win","SuccPasses",0.753164556962025
"Win","SuccAir",0.5
"Win","SuccTacles",0.730769230769231
"Loss","SuccShots",0
"Loss","SuccDribbles",0.35
"Loss","SuccPasses",0.838209982788296
"Loss","SuccAir",0.333333333333333
"Loss","SuccTacles",0.833333333333333
"Draw","SuccShots",0
